Running "module reset". Resetting modules to system default. The following $MODULEPATH directories have been removed: None

Currently Loaded Modules:
  1) gcc/11.4.0      4) cue-login-env/1.0   7) cudnn/8.9.0.131
  2) openmpi/4.1.6   5) slurm-env/0.1       8) anaconda3_gpu/23.9.0
  3) cuda/11.8.0     6) default-s11

 

[2024-08-03 13:29:12,747 INFO Client2]: Logging to ./output/result_Client2_6.txt
[2024-08-03 13:29:37,435 INFO Client2]:      Round   Pre Val?       Time Train Loss Train Accuracy   Val Loss Val Accuracy
[2024-08-03 13:29:38,567 INFO Client2]:          0          Y                                          2.3042      14.5800
[2024-08-03 13:29:39,754 INFO Client2]:          0          N     1.1852     0.1077        86.6562     5.4192      67.0200
[2024-08-03 13:29:39,949 INFO Client2]:          1          Y                                          2.4837      56.7900
[2024-08-03 13:29:40,237 INFO Client2]:          1          N     0.2875     0.0278        96.8434     4.1606      68.4200
[2024-08-03 13:29:40,431 INFO Client2]:          2          Y                                          3.6224      60.6000
[2024-08-03 13:29:40,744 INFO Client2]:          2          N     0.3130     0.0205        97.6250     4.6121      68.4900
[2024-08-03 13:29:40,928 INFO Client2]:          3          Y                                          0.6734      75.2700
[2024-08-03 13:29:41,233 INFO Client2]:          3          N     0.3050     0.0157        98.1153     2.9657      68.5400
[2024-08-03 13:29:41,418 INFO Client2]:          4          Y                                          0.2598      91.4300
[2024-08-03 13:29:41,720 INFO Client2]:          4          N     0.3016     0.0127        98.5206     2.2751      68.3500
[2024-08-03 13:29:41,899 INFO Client2]:          5          Y                                          0.2181      92.8300
[2024-08-03 13:29:42,174 INFO Client2]:          5          N     0.2742     0.0107        98.5069     2.0641      68.6500
[2024-08-03 13:29:42,366 INFO Client2]:          6          Y                                          0.1872      93.7600
[2024-08-03 13:29:42,640 INFO Client2]:          6          N     0.2739     0.0086        98.8368     2.2310      68.7100
[2024-08-03 13:29:42,862 INFO Client2]:          7          Y                                          0.1955      93.6900
[2024-08-03 13:29:43,148 INFO Client2]:          7          N     0.2856     0.0096        98.7919     1.8475      68.7000
[2024-08-03 13:29:43,337 INFO Client2]:          8          Y                                          0.1694      94.5600
[2024-08-03 13:29:43,629 INFO Client2]:          8          N     0.2910     0.0083        99.0469     1.7280      69.6300
[2024-08-03 13:29:43,809 INFO Client2]:          9          Y                                          0.1190      96.4400
[2024-08-03 13:29:44,101 INFO Client2]:          9          N     0.2913     0.0093        98.9844     1.4324      69.1300
[2024-08-03 13:29:44,273 INFO Client2]:         10          Y                                          0.1369      95.7800
[2024-08-03 13:29:44,566 INFO Client2]:         10          N     0.2931     0.0086        99.0000     1.3773      68.9900
[2024-08-03 13:29:44,750 INFO Client2]:         11          Y                                          0.1354      95.8300
[2024-08-03 13:29:45,042 INFO Client2]:         11          N     0.2918     0.0086        99.0312     1.5771      68.8700
[2024-08-03 13:29:45,222 INFO Client2]:         12          Y                                          0.1142      96.5500
[2024-08-03 13:29:45,517 INFO Client2]:         12          N     0.2940     0.0061        99.3281     1.6757      69.0500
[2024-08-03 13:29:45,698 INFO Client2]:         13          Y                                          0.1210      96.1200
[2024-08-03 13:29:45,990 INFO Client2]:         13          N     0.2908     0.0079        99.1562     1.2690      69.2000
[2024-08-03 13:29:46,168 INFO Client2]:         14          Y                                          0.0940      97.0300
[2024-08-03 13:29:46,453 INFO Client2]:         14          N     0.2852     0.0064        99.2028     1.3817      69.5700
[2024-08-03 13:29:46,643 INFO Client2]:         15          Y                                          0.0946      97.1800
[2024-08-03 13:29:46,933 INFO Client2]:         15          N     0.2895     0.0050        99.4844     1.3659      69.2800
[2024-08-03 13:29:47,113 INFO Client2]:         16          Y                                          0.0894      97.2400
[2024-08-03 13:29:47,402 INFO Client2]:         16          N     0.2885     0.0038        99.4476     1.8444      70.4600
[2024-08-03 13:29:47,590 INFO Client2]:         17          Y                                          0.0792      97.7300
[2024-08-03 13:29:47,881 INFO Client2]:         17          N     0.2901     0.0048        99.3750     2.0868      69.2700
[2024-08-03 13:29:48,062 INFO Client2]:         18          Y                                          0.0991      96.9100
[2024-08-03 13:29:48,353 INFO Client2]:         18          N     0.2904     0.0054        99.3906     1.4248      69.8300
[2024-08-03 13:29:48,544 INFO Client2]:         19          Y                                          0.0848      97.2000
[2024-08-03 13:29:48,835 INFO Client2]:         19          N     0.2902     0.0046        99.5000     0.9369      76.2500
[2024-08-03 13:29:49,023 INFO Client2]:         20          Y                                          0.0728      97.7600
[2024-08-03 13:29:49,317 INFO Client2]:         20          N     0.2940     0.0036        99.5469     0.9909      79.5300
[2024-08-03 13:29:49,503 INFO Client2]:         21          Y                                          0.0567      98.2500
[2024-08-03 13:29:49,796 INFO Client2]:         21          N     0.2933     0.0045        99.5156     1.1062      76.5600
[2024-08-03 13:29:49,974 INFO Client2]:         22          Y                                          0.0669      98.1000
[2024-08-03 13:29:50,265 INFO Client2]:         22          N     0.2901     0.0043        99.5938     1.1686      76.1900
[2024-08-03 13:29:50,452 INFO Client2]:         23          Y                                          0.0675      98.0100
[2024-08-03 13:29:50,742 INFO Client2]:         23          N     0.2896     0.0043        99.5312     1.0024      77.8800
[2024-08-03 13:29:50,932 INFO Client2]:         24          Y                                          0.0807      97.5100
[2024-08-03 13:29:51,222 INFO Client2]:         24          N     0.2892     0.0039        99.4531     1.2927      70.5900
